scenario_dimension|is_in_car|is_interventionism|scenario_dimension_group_type|count_dict_1|count_dict_2|is_law|traffic_light_pattern
species|False|True|['human', 'pet', 'robot']|{'criminal': 1, 'elderly man': 1}|{'humanoid robot': 1, 'dog': 1}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'male doctor': 1, 'large man': 1, 'large woman': 1}|{'male doctor': 1, 'large man': 1, 'large woman': 1, 'homeless person': 1, 'elderly man': 1}|True|['NA', 'red']
gender|False|True|['female', 'male']|{'woman': 1, 'female doctor': 1}|{'man': 1, 'male doctor': 1}|True|['red', 'green']
age|False|False|['younger', 'older']|{'man': 1, 'boy': 1}|{'elderly man': 1, 'man': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'large woman': 2}|{'female athlete': 1, 'woman': 1}|True|['green', 'red']
social_value|True|True|['higher', 'lower']|{'male doctor': 1, 'pregnant woman': 1, 'man': 1}|{'criminal': 1, 'woman': 1, 'homeless person': 1}|True|['NA', 'red']
social_value|False|True|['lower', 'higher']|{'woman': 2}|{'female doctor': 1, 'male doctor': 1}|True|['green', 'red']
social_value|False|False|['lower', 'higher']|{'woman': 1}|{'female doctor': 1}|True|['red', 'green']
utilitarianism|False|False|['less', 'more']|{'woman': 1}|{'woman': 1, 'pregnant woman': 1}|True|['green', 'red']
social_value|True|True|['higher', 'lower']|{'female doctor': 2, 'male doctor': 1, 'pregnant woman': 1}|{'homeless person': 1, 'criminal': 1, 'woman': 2}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'girl': 1}|{'autonomous mobile robot': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'large man': 2, 'woman': 1, 'man': 1}|{'male athlete': 2, 'female athlete': 1, 'man': 1}|True|['green', 'red']
utilitarianism|True|True|['less', 'more']|{'large woman': 1, 'large man': 1, 'female athlete': 1}|{'large woman': 1, 'large man': 1, 'female athlete': 1, 'homeless person': 1}|True|['NA', 'green']
utilitarianism|True|True|['more', 'less']|{'pregnant woman': 3, 'humanoid robot': 1, 'autonomous mobile robot': 1}|{'pregnant woman': 1, 'humanoid robot': 1}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'woman': 1, 'elderly woman': 1, 'female athlete': 1, 'female doctor': 1}|{'man': 1, 'elderly man': 1, 'male athlete': 1, 'male doctor': 1}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'boy': 1, 'large man': 1, 'large woman': 1, 'male executive': 1}|{'cat': 2, 'humanoid robot': 1, 'dog': 1}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'man': 2}|{'elderly man': 2}|True|['green', 'red']
age|True|True|['younger', 'older']|{'girl': 3, 'boy': 2}|{'woman': 2, 'elderly woman': 1, 'elderly man': 1, 'man': 1}|True|['NA', 'red']
age|True|False|['older', 'younger']|{'woman': 1, 'elderly woman': 2}|{'girl': 1, 'woman': 2}|True|['NA', 'red']
social_value|True|False|['lower', 'higher']|{'homeless person': 1}|{'man': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'homeless person': 1}|{'man': 1}|True|['NA', 'red']
age|True|False|['older', 'younger']|{'elderly man': 1}|{'man': 1}|True|['NA', 'green']
species|True|True|['human', 'pet', 'robot']|{'girl': 2, 'boy': 1, 'female athlete': 1}|{'autonomous mobile robot': 1, 'dog': 1, 'humanoid robot': 2}|True|['NA', 'red']
utilitarianism|True|True|['less', 'more']|{'baby': 1, 'male doctor': 1}|{'baby': 1, 'male doctor': 2}|True|['NA', 'green']
utilitarianism|False|False|['less', 'more']|{'criminal': 1, 'dog': 1}|{'criminal': 1, 'dog': 2, 'pregnant woman': 1, 'man': 1}|False|['NA', 'NA']
fitness|True|True|['higher', 'lower']|{'female athlete': 1, 'male athlete': 1}|{'woman': 1, 'large man': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female athlete': 2, 'female doctor': 1}|{'male athlete': 2, 'male doctor': 1}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'homeless person': 1}|{'homeless person': 1, 'large man': 1}|True|['NA', 'green']
species|True|True|['human', 'pet', 'robot']|{'baby': 1, 'female athlete': 1}|{'cat': 1, 'dog': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'girl': 1, 'woman': 1, 'man': 1}|{'elderly woman': 2, 'elderly man': 1}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'elderly woman': 1, 'female doctor': 1}|{'elderly woman': 1, 'female doctor': 1, 'male athlete': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'baby': 1, 'female athlete': 1}|{'baby': 2, 'female athlete': 1, 'male athlete': 1, 'female doctor': 1}|True|['green', 'red']
age|False|True|['younger', 'older']|{'man': 1, 'boy': 1, 'woman': 1}|{'elderly man': 2, 'elderly woman': 1}|True|['green', 'red']
age|False|False|['younger', 'older']|{'woman': 1}|{'elderly woman': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'boy': 2, 'girl': 1, 'man': 1}|{'man': 2, 'elderly woman': 1, 'elderly man': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'man': 1}|{'female executive': 1}|True|['red', 'green']
utilitarianism|False|False|['less', 'more']|{'autonomous mobile robot': 2, 'elderly woman': 1}|{'autonomous mobile robot': 2, 'elderly woman': 1, 'criminal': 1, 'female athlete': 1}|True|['red', 'green']
species|True|True|['robot', 'pet', 'human']|{'autonomous mobile robot': 1, 'cat': 1, 'humanoid robot': 3}|{'pregnant woman': 1, 'large man': 1, 'elderly woman': 1, 'female doctor': 1, 'female executive': 1}|True|['NA', 'green']
age|True|False|['younger', 'older']|{'man': 1}|{'elderly man': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'homeless person': 1}|{'autonomous mobile robot': 1}|True|['green', 'red']
species|False|False|['human', 'pet', 'robot']|{'female athlete': 1, 'large man': 1, 'woman': 1, 'man': 1}|{'dog': 2, 'cat': 1, 'humanoid robot': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'man': 1, 'large woman': 2}|{'male athlete': 1, 'woman': 2}|False|['NA', 'NA']
species|False|False|['human', 'pet', 'robot']|{'dog': 1}|{'humanoid robot': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female executive': 1, 'girl': 1, 'large woman': 1}|{'male executive': 1, 'boy': 1, 'large man': 1}|True|['green', 'red']
social_value|False|True|['lower', 'higher']|{'criminal': 2, 'man': 1, 'woman': 1}|{'female doctor': 1, 'pregnant woman': 2, 'woman': 1}|True|['red', 'green']
gender|False|False|['female', 'male']|{'large woman': 1, 'female doctor': 1, 'woman': 1}|{'large man': 1, 'male doctor': 1, 'man': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly woman': 2, 'man': 1, 'elderly man': 1}|{'woman': 2, 'boy': 2}|False|['NA', 'NA']
age|False|False|['younger', 'older']|{'girl': 2, 'woman': 1}|{'woman': 1, 'elderly woman': 2}|True|['red', 'green']
fitness|True|False|['lower', 'higher']|{'large man': 1, 'large woman': 2, 'man': 1}|{'male athlete': 2, 'female athlete': 2}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'homeless person': 1, 'man': 1}|{'man': 1, 'female doctor': 1}|True|['green', 'red']
social_value|False|True|['lower', 'higher']|{'homeless person': 2, 'man': 2, 'criminal': 1}|{'man': 1, 'female executive': 1, 'male executive': 1, 'female doctor': 1, 'pregnant woman': 1}|True|['red', 'green']
species|True|True|['robot', 'pet', 'human']|{'humanoid robot': 1, 'cat': 1}|{'male athlete': 1, 'large woman': 1}|False|['NA', 'NA']
species|True|True|['human', 'pet', 'robot']|{'girl': 1, 'large man': 1, 'criminal': 1, 'male doctor': 1}|{'dog': 2, 'humanoid robot': 2}|True|['NA', 'red']
species|False|False|['human', 'pet', 'robot']|{'female executive': 2, 'elderly man': 1, 'woman': 1}|{'cat': 2, 'autonomous mobile robot': 1, 'humanoid robot': 1}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'large man': 1, 'elderly man': 1}|{'large woman': 1, 'elderly woman': 1}|True|['NA', 'red']
social_value|False|True|['lower', 'higher']|{'criminal': 2}|{'female doctor': 1, 'pregnant woman': 1}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'woman': 1, 'large woman': 2}|{'female athlete': 2, 'woman': 1}|False|['NA', 'NA']
social_value|True|True|['lower', 'higher']|{'homeless person': 3, 'man': 2}|{'pregnant woman': 2, 'woman': 1, 'female executive': 1, 'male doctor': 1}|False|['NA', 'NA']
species|True|False|['robot', 'pet', 'human']|{'humanoid robot': 1, 'cat': 1, 'autonomous mobile robot': 1}|{'female athlete': 1, 'elderly man': 1, 'large woman': 1}|True|['NA', 'green']
age|False|False|['younger', 'older']|{'girl': 1}|{'woman': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'woman': 1}|{'man': 1}|True|['red', 'green']
age|False|False|['younger', 'older']|{'girl': 1, 'woman': 1}|{'woman': 1, 'elderly woman': 1}|True|['red', 'green']
utilitarianism|True|False|['less', 'more']|{'homeless person': 2, 'baby': 1, 'humanoid robot': 1}|{'homeless person': 2, 'baby': 1, 'humanoid robot': 1, 'criminal': 1}|True|['NA', 'green']
social_value|True|False|['lower', 'higher']|{'homeless person': 1, 'woman': 1}|{'female doctor': 1, 'male doctor': 1}|True|['NA', 'green']
gender|True|False|['male', 'female']|{'elderly man': 1}|{'elderly woman': 1}|True|['NA', 'green']
utilitarianism|True|True|['more', 'less']|{'female athlete': 1, 'male doctor': 1, 'large man': 1, 'homeless person': 1, 'large woman': 1}|{'female athlete': 1, 'male doctor': 1}|True|['NA', 'green']
utilitarianism|False|False|['less', 'more']|{'baby': 1, 'large woman': 1, 'autonomous mobile robot': 1}|{'baby': 1, 'large woman': 1, 'autonomous mobile robot': 1, 'criminal': 1, 'large man': 1}|True|['green', 'red']
social_value|False|True|['lower', 'higher']|{'criminal': 1, 'homeless person': 1}|{'female executive': 1, 'woman': 1}|False|['NA', 'NA']
fitness|True|False|['lower', 'higher']|{'large man': 1, 'large woman': 1}|{'man': 1, 'female athlete': 1}|True|['NA', 'red']
age|True|False|['older', 'younger']|{'elderly man': 1, 'elderly woman': 2, 'woman': 1}|{'boy': 1, 'woman': 2, 'girl': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'boy': 1, 'criminal': 1, 'homeless person': 1, 'pregnant woman': 1}|{'boy': 1, 'criminal': 1, 'homeless person': 1, 'pregnant woman': 1, 'woman': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'large woman': 1, 'woman': 1, 'female athlete': 2, 'girl': 1}|{'large man': 1, 'man': 1, 'male athlete': 2, 'boy': 1}|True|['green', 'red']
utilitarianism|True|False|['less', 'more']|{'dog': 1, 'humanoid robot': 1}|{'dog': 1, 'humanoid robot': 1, 'female athlete': 1, 'elderly woman': 1}|True|['NA', 'green']
gender|False|False|['female', 'male']|{'large woman': 2, 'girl': 1}|{'large man': 2, 'boy': 1}|False|['NA', 'NA']
fitness|True|True|['higher', 'lower']|{'male athlete': 3, 'female athlete': 1}|{'large man': 1, 'woman': 1, 'man': 2}|True|['NA', 'red']
social_value|True|True|['lower', 'higher']|{'criminal': 2, 'woman': 1}|{'male executive': 1, 'pregnant woman': 1, 'female doctor': 1}|True|['NA', 'green']
species|True|True|['human', 'pet', 'robot']|{'female doctor': 1, 'large woman': 1}|{'humanoid robot': 2}|True|['NA', 'green']
age|False|True|['younger', 'older']|{'girl': 1, 'man': 1}|{'elderly woman': 1, 'elderly man': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'female athlete': 1, 'female executive': 1}|{'male athlete': 1, 'male executive': 1}|True|['red', 'green']
species|True|False|['robot', 'pet', 'human']|{'humanoid robot': 3, 'dog': 1}|{'female doctor': 1, 'female athlete': 2, 'woman': 1}|True|['NA', 'red']
social_value|True|False|['lower', 'higher']|{'woman': 1}|{'male executive': 1}|True|['NA', 'green']
utilitarianism|False|True|['less', 'more']|{'pregnant woman': 2}|{'pregnant woman': 2, 'female athlete': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'large woman': 1, 'female athlete': 1, 'woman': 1, 'elderly woman': 2}|{'large man': 1, 'male athlete': 1, 'man': 1, 'elderly man': 2}|False|['NA', 'NA']
gender|True|False|['male', 'female']|{'man': 1, 'elderly man': 1}|{'woman': 1, 'elderly woman': 1}|True|['NA', 'green']
gender|True|True|['female', 'male']|{'female athlete': 1}|{'male athlete': 1}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'autonomous mobile robot': 1, 'dog': 1, 'elderly man': 1}|{'autonomous mobile robot': 1, 'dog': 1, 'elderly man': 1, 'large man': 1, 'woman': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'homeless person': 1, 'elderly woman': 1}|{'dog': 1, 'humanoid robot': 1}|False|['NA', 'NA']
utilitarianism|True|True|['more', 'less']|{'pregnant woman': 1, 'male athlete': 1, 'baby': 1, 'cat': 1, 'female athlete': 1}|{'pregnant woman': 1, 'male athlete': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'elderly woman': 1}|{'elderly man': 1}|True|['green', 'red']
age|False|False|['younger', 'older']|{'man': 1, 'boy': 1}|{'elderly man': 1, 'man': 1}|True|['red', 'green']
age|True|False|['older', 'younger']|{'elderly man': 2}|{'boy': 1, 'man': 1}|True|['NA', 'red']
social_value|False|False|['lower', 'higher']|{'homeless person': 1, 'woman': 2, 'criminal': 1}|{'pregnant woman': 1, 'male executive': 1, 'woman': 1, 'female doctor': 1}|True|['red', 'green']
utilitarianism|False|True|['less', 'more']|{'large man': 1, 'large woman': 1}|{'large man': 1, 'large woman': 1, 'humanoid robot': 1, 'male athlete': 1, 'pregnant woman': 1}|True|['red', 'green']
social_value|True|True|['higher', 'lower']|{'pregnant woman': 1, 'man': 2}|{'woman': 1, 'criminal': 1, 'homeless person': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'large man': 1, 'woman': 1, 'large woman': 2}|{'male athlete': 1, 'female athlete': 2, 'woman': 1}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'elderly woman': 1}|{'elderly man': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'man': 1, 'woman': 1}|{'male executive': 1, 'female executive': 1}|False|['NA', 'NA']
age|True|False|['older', 'younger']|{'elderly woman': 1, 'man': 1, 'elderly man': 1}|{'woman': 1, 'boy': 2}|True|['NA', 'green']
gender|False|False|['female', 'male']|{'female doctor': 2}|{'male doctor': 2}|True|['green', 'red']
species|False|False|['human', 'pet', 'robot']|{'girl': 1, 'large woman': 2, 'woman': 1}|{'dog': 2, 'autonomous mobile robot': 1, 'cat': 1}|True|['green', 'red']
social_value|True|True|['lower', 'higher']|{'man': 1, 'homeless person': 1}|{'female executive': 1, 'male executive': 1}|True|['NA', 'red']
social_value|False|False|['lower', 'higher']|{'woman': 1, 'man': 1}|{'female doctor': 1, 'pregnant woman': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'female athlete': 1, 'baby': 2, 'elderly man': 1}|{'autonomous mobile robot': 1, 'dog': 1, 'cat': 1, 'humanoid robot': 1}|True|['green', 'red']
social_value|True|False|['higher', 'lower']|{'female executive': 1}|{'woman': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large man': 2}|{'male athlete': 2}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'man': 1, 'large man': 1}|{'male athlete': 2}|True|['green', 'red']
age|True|False|['older', 'younger']|{'woman': 1, 'elderly woman': 2, 'man': 1}|{'girl': 2, 'boy': 1, 'woman': 1}|False|['NA', 'NA']
species|True|True|['robot', 'pet', 'human']|{'dog': 2}|{'homeless person': 1, 'large woman': 1}|True|['NA', 'red']
gender|True|True|['male', 'female']|{'large man': 2, 'man': 1}|{'large woman': 2, 'woman': 1}|True|['NA', 'green']
utilitarianism|False|False|['less', 'more']|{'homeless person': 1, 'humanoid robot': 1, 'male doctor': 1, 'autonomous mobile robot': 1}|{'homeless person': 1, 'humanoid robot': 1, 'male doctor': 1, 'autonomous mobile robot': 1, 'female athlete': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'female doctor': 2, 'female executive': 1, 'woman': 1}|{'male doctor': 2, 'male executive': 1, 'man': 1}|True|['NA', 'green']
gender|False|True|['female', 'male']|{'large woman': 1, 'female athlete': 1, 'woman': 1, 'girl': 2}|{'large man': 1, 'male athlete': 1, 'man': 1, 'boy': 2}|True|['green', 'red']
gender|False|True|['female', 'male']|{'elderly woman': 1, 'large woman': 1, 'female doctor': 2, 'female executive': 1}|{'elderly man': 1, 'large man': 1, 'male doctor': 2, 'male executive': 1}|True|['red', 'green']
social_value|False|False|['lower', 'higher']|{'woman': 1, 'man': 1, 'criminal': 3}|{'female executive': 1, 'female doctor': 2, 'woman': 1, 'male executive': 1}|False|['NA', 'NA']
fitness|False|False|['lower', 'higher']|{'large woman': 1}|{'woman': 1}|True|['red', 'green']
fitness|True|False|['lower', 'higher']|{'woman': 1, 'large man': 1, 'man': 1}|{'female athlete': 1, 'man': 1, 'male athlete': 1}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female doctor': 3, 'woman': 1, 'female executive': 1}|{'male doctor': 3, 'man': 1, 'male executive': 1}|False|['NA', 'NA']
utilitarianism|False|True|['less', 'more']|{'criminal': 1, 'girl': 1}|{'criminal': 1, 'girl': 1, 'female doctor': 1, 'elderly woman': 1, 'boy': 1}|False|['NA', 'NA']
fitness|False|True|['lower', 'higher']|{'man': 2, 'large man': 3}|{'male athlete': 5}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'boy': 2, 'large woman': 1, 'male doctor': 1, 'elderly man': 1}|{'dog': 3, 'cat': 2}|True|['green', 'red']
age|True|False|['younger', 'older']|{'woman': 1}|{'elderly woman': 1}|False|['NA', 'NA']
social_value|True|False|['lower', 'higher']|{'homeless person': 1}|{'female doctor': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'girl': 4, 'woman': 1}|{'elderly woman': 3, 'woman': 2}|True|['green', 'red']
species|False|True|['human', 'pet', 'robot']|{'female executive': 1, 'cat': 1, 'pregnant woman': 1, 'female doctor': 1, 'man': 1}|{'cat': 1, 'autonomous mobile robot': 3, 'dog': 1}|True|['green', 'red']
age|True|True|['younger', 'older']|{'girl': 2, 'boy': 2, 'woman': 1}|{'elderly woman': 3, 'elderly man': 1, 'man': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'woman': 2, 'elderly woman': 1, 'female executive': 1}|{'man': 2, 'elderly man': 1, 'male executive': 1}|False|['NA', 'NA']
age|True|True|['older', 'younger']|{'elderly woman': 1, 'elderly man': 2}|{'woman': 1, 'man': 1, 'boy': 1}|True|['NA', 'green']
species|False|True|['human', 'pet', 'robot']|{'male executive': 1, 'large woman': 1}|{'humanoid robot': 1, 'cat': 1}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'woman': 3}|{'man': 3}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'man': 1, 'boy': 2, 'girl': 1, 'woman': 1}|{'elderly man': 3, 'elderly woman': 2}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'female executive': 1, 'homeless person': 1, 'criminal': 1, 'pregnant woman': 1}|{'cat': 2, 'dog': 1, 'humanoid robot': 1}|False|['NA', 'NA']
fitness|True|False|['higher', 'lower']|{'female athlete': 1, 'man': 1, 'woman': 1}|{'woman': 1, 'large man': 1, 'large woman': 1}|False|['NA', 'NA']
species|False|True|['human', 'pet', 'robot']|{'pregnant woman': 1}|{'autonomous mobile robot': 1}|False|['NA', 'NA']
social_value|False|False|['lower', 'higher']|{'homeless person': 1}|{'man': 1}|True|['red', 'green']
age|False|True|['younger', 'older']|{'woman': 1, 'boy': 1, 'girl': 1}|{'elderly woman': 2, 'man': 1}|True|['green', 'red']
gender|True|False|['male', 'female']|{'boy': 1, 'elderly man': 1, 'man': 1, 'male athlete': 1}|{'girl': 1, 'elderly woman': 1, 'woman': 1, 'female athlete': 1}|False|['NA', 'NA']
age|True|False|['younger', 'older']|{'girl': 1}|{'woman': 1}|True|['NA', 'green']
social_value|False|True|['lower', 'higher']|{'homeless person': 1, 'man': 1, 'criminal': 1}|{'man': 1, 'male executive': 1, 'male doctor': 1}|True|['green', 'red']
gender|False|False|['female', 'male']|{'girl': 1, 'female executive': 1, 'elderly woman': 1, 'woman': 1, 'female athlete': 1}|{'boy': 1, 'male executive': 1, 'elderly man': 1, 'man': 1, 'male athlete': 1}|False|['NA', 'NA']
gender|True|True|['female', 'male']|{'elderly woman': 1, 'girl': 1, 'woman': 2}|{'elderly man': 1, 'boy': 1, 'man': 2}|False|['NA', 'NA']
gender|False|True|['female', 'male']|{'elderly woman': 1, 'female doctor': 2, 'large woman': 1, 'female executive': 1}|{'elderly man': 1, 'male doctor': 2, 'large man': 1, 'male executive': 1}|False|['NA', 'NA']
gender|True|False|['female', 'male']|{'female executive': 1, 'elderly woman': 1, 'female athlete': 1}|{'male executive': 1, 'elderly man': 1, 'male athlete': 1}|True|['NA', 'red']
species|True|True|['human', 'pet', 'robot']|{'elderly man': 1, 'female athlete': 1, 'large woman': 1, 'female doctor': 1}|{'autonomous mobile robot': 2, 'cat': 2}|True|['NA', 'red']
fitness|True|True|['higher', 'lower']|{'male athlete': 1, 'woman': 3}|{'large man': 1, 'large woman': 3}|True|['NA', 'red']
gender|True|True|['female', 'male']|{'girl': 1, 'female executive': 1, 'woman': 2}|{'boy': 1, 'male executive': 1, 'man': 2}|False|['NA', 'NA']
gender|False|False|['female', 'male']|{'female executive': 1, 'female athlete': 1, 'girl': 2}|{'male executive': 1, 'male athlete': 1, 'boy': 2}|True|['green', 'red']
gender|False|True|['female', 'male']|{'girl': 2, 'woman': 2, 'elderly woman': 1}|{'boy': 2, 'man': 2, 'elderly man': 1}|False|['NA', 'NA']
age|False|True|['younger', 'older']|{'girl': 2, 'man': 1, 'boy': 1, 'woman': 1}|{'elderly woman': 3, 'elderly man': 2}|False|['NA', 'NA']
utilitarianism|False|False|['less', 'more']|{'homeless person': 1, 'female executive': 1, 'cat': 1}|{'homeless person': 1, 'female executive': 1, 'cat': 1, 'criminal': 2}|False|['NA', 'NA']
utilitarianism|True|False|['less', 'more']|{'female doctor': 1}|{'female doctor': 1, 'autonomous mobile robot': 1, 'dog': 1}|True|['NA', 'red']
species|False|False|['human', 'pet', 'robot']|{'boy': 2, 'pregnant woman': 1}|{'humanoid robot': 1, 'dog': 1, 'cat': 1}|True|['red', 'green']
species|False|False|['human', 'pet', 'robot']|{'cat': 1, 'baby': 1, 'boy': 1, 'female executive': 1, 'male doctor': 1}|{'humanoid robot': 1, 'dog': 2, 'cat': 2}|True|['red', 'green']
